"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Panambi (RS)";"2828";"2652";"2499";"2354";"2600";"2380";"5444";"5475";"5709";"4994";"5214";"5217";"5312";"5415";"5522";"5428";"5405";"5897";"6124";"6124";"9843";"11200";"14695";"16940";"18407";"18900";"19500";"21800";"21300";"21535";"19008";"21126";"22000";"18000";"18700";"19100";"19280";"19164";"19236";"19800";"19980";"20196";"22650";"26030"
"Pantano Grande (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2350";"2400";"920";"900";"619";"509";"488";"585";"736";"643";"630";"619";"559";"583";"575";"830";"793";"807";"548";"548";"548";"550";"570";"560";"2000";"2000";"1100";"1150";"1100"
"Paraí (RS)";"1575";"1730";"1814";"2552";"2489";"2390";"1915";"2005";"1925";"1907";"1426";"1433";"1555";"1547";"2006";"2025";"2010";"2046";"2150";"2193";"2266";"2217";"6352";"2828";"2606";"2679";"3063";"3080";"13324";"13213";"13617";"14970";"16071";"17480";"17777";"16710";"16259";"16666";"16272";"13829";"22000";"26431";"27962";"25017"
"Paraíso do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"505";"534";"563";"647";"652";"654";"667";"904";"905";"912";"915";"918";"725";"760";"740";"744";"745";"748";"750";"753";"758";"759";"760";"769";"1227";"1355";"1325";"1465";"1700"
"Pareci Novo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1263";"1314";"1380";"341";"337";"341";"330";"328";"326";"327";"328";"331";"315";"319";"309";"316";"325";"325";"318";"876";"893";"893";"753";"776";"631"
"Parobé (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"306";"309";"324";"289";"259";"240";"818";"803";"793";"774";"656";"643";"660";"1245";"1274";"1224";"1157";"1197";"1153";"1141";"1293";"1333";"612";"635";"627";"631";"642";"728";"690";"656";"612";"695";"656";"660";"674"
"Passa Sete (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1405";"1418";"1422";"1426";"1454";"1466";"1426";"1428";"1432";"1425";"1428";"1455";"1464";"1468";"1475";"1480";"1493";"1568";"1576";"1400";"1300"
"Passo do Sobrado (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"29";"49";"724";"851";"1025";"1100";"1134";"1160";"1090";"1144";"1245";"1362";"1286";"1314";"1162";"1162";"1164";"1240";"1240";"1200";"2500";"2500";"2550";"3024";"3000"
"Passo Fundo (RS)";"4836";"5331";"4959";"5105";"4000";"7150";"15082";"16428";"16244";"18171";"19109";"19206";"18484";"19728";"19135";"15155";"14330";"14663";"13950";"5940";"5940";"6059";"6103";"7563";"7475";"8057";"16665";"22023";"16389";"21426";"23803";"22546";"23011";"13716";"25649";"28707";"32575";"37694";"33077";"30893";"32395";"27943";"31730";"31899"
"Paulo Bento (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1530";"1697";"1730";"1814";"1856";"1856";"2196";"2228";"2226";"2276";"2325";"2850";"7101";"8225";"8500";"9000";"11678"
"Paverama (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2146";"1927";"1960";"2354";"1797";"2956";"3080";"4497";"4414";"4510";"4510";"4510";"3500";"3652";"3350";"2869";"5760";"6144";"4768";"5449";"4868";"4508";"4710";"5319";"6500";"6900";"6300";"5800";"6200"
"Pedras Altas (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1230";"1277";"1315";"1323";"1295";"1349";"1360";"1381";"1395";"1416";"1430";"1402";"2862";"2870";"3181";"2993";"3489"
"Pedro Osório (RS)";"5042";"4900";"5042";"5109";"4820";"4825";"4630";"4857";"4873";"4900";"4477";"4592";"5525";"5369";"5100";"7139";"7161";"7197";"7091";"6281";"6184";"6430";"7707";"4341";"4258";"4271";"5540";"4911";"5796";"6001";"6761";"5404";"5269";"5183";"5874";"5901";"5702";"5587";"683";"610";"600";"558";"568";"758"
"Pejuçara (RS)";"431";"562";"565";"573";"340";"765";"1705";"1917";"2094";"2211";"2266";"2260";"2239";"2406";"2269";"2296";"7315";"7416";"2251";"2191";"2206";"2950";"3558";"3842";"3880";"4167";"4350";"4435";"4038";"2267";"2717";"3350";"4500";"5300";"5380";"4800";"9658";"11479";"11500";"11950";"12590";"12750";"12800";"11482"
"Pelotas (RS)";"23578";"20469";"20407";"20691";"20587";"23410";"17526";"18271";"18286";"18682";"20131";"21101";"20153";"16260";"19851";"16773";"16270";"16208";"15721";"13364";"10958";"8054";"20394";"17965";"17639";"17205";"14625";"20562";"17273";"17280";"18082";"17236";"16392";"17166";"17680";"18033";"18376";"17549";"18473";"27418";"27097";"22977";"19265";"19456"
"Picada Café (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5837";"1728";"1349";"1944";"1659";"1691";"1350";"1512";"2640";"3226";"2287";"2465";"2442";"2425";"1771";"1215";"1524";"1377";"1610";"1314";"1355";"1387";"1280";"1173";"1188"
"Pinhal (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"344";"364";"383";"402";"404";"354";"508";"1035";"1060";"1037";"987";"1116";"1181";"1120";"1203";"1468";"2176";"2663";"2930";"5072";"5111";"8222";"8726";"9210";"10026";"10264";"9427";"8073";"8667"
"Pinhal da Serra (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"583";"623";"647";"328";"144";"234";"334";"804";"831";"1599";"2728";"2851";"2890";"3100";"3200";"3446";"3000"
"Pinhal Grande (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2339";"2282";"2339";"2796";"2757";"2639";"2632";"2750";"12035";"12111";"11246";"10215";"6946";"7601";"7201";"7794";"8393";"7758";"6319";"6231";"5551";"5800";"5697";"5600";"5900"
"Pinheirinho do Vale (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2516";"2777";"2925";"1044";"1056";"1163";"1201";"1209";"1212";"1221";"1239";"1293";"1292";"1298";"6100";"6141";"6174";"6335";"6338";"7010";"9100";"12000";"11800";"11400";"13450"
"Pinheiro Machado (RS)";"2914";"2391";"2401";"2414";"2139";"2730";"3350";"4412";"3517";"4723";"4816";"4908";"5032";"4868";"4738";"4876";"4930";"5382";"6163";"5719";"6081";"6566";"2401";"2564";"2614";"2954";"2989";"1859";"1912";"1917";"1933";"1912";"1912";"1925";"1957";"1977";"1999";"2019";"1960";"1803";"1810";"1539";"1262";"1451"
"Pinto Bandeira (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2184";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2220";"2100";"1740";"1190";"462"
"Pirapó (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1080";"1352";"1405";"1438";"1120";"1140";"1368";"2025";"2276";"2199";"2777";"2926";"2935";"2895";"2620";"2812";"3303";"3560";"3105";"3111";"3415";"3311";"3441";"3380";"3631";"3767";"3830";"3810";"4883"
"Piratini (RS)";"5201";"4563";"4710";"4743";"4425";"5280";"3529";"3600";"3709";"3208";"3294";"3354";"3661";"3747";"5459";"5508";"5013";"4762";"4779";"4730";"4739";"5497";"4715";"4479";"4423";"4364";"3971";"3791";"4208";"4236";"4850";"3848";"2848";"3489";"2111";"2504";"2624";"2500";"3329";"3100";"3007";"2779";"1966";"4112"
"Planalto (RS)";"2994";"3874";"4005";"4035";"2100";"2000";"2881";"2950";"3040";"3100";"3245";"3215";"3501";"3398";"2913";"4057";"4647";"4647";"4711";"4405";"4411";"5070";"2100";"2228";"2442";"2533";"2576";"2424";"2537";"2544";"2552";"2559";"2552";"4785";"4773";"4720";"4728";"4758";"5185";"6745";"7475";"7500";"6250";"9550"
"Poço das Antas (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2332";"790";"762";"870";"1200";"1236";"1244";"2000";"2100";"1700";"1709";"1500";"1250";"1240";"1245";"1169";"1217";"1301";"1489";"1636";"1356";"1250";"1265";"1200";"1270";"1365";"1365";"1415";"1472"
"Pontão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2240";"2250";"5110";"5148";"4346";"4642";"4483";"7121";"7834";"8942";"8213";"7570";"15451";"18257";"17318";"23390";"23390";"28392";"29570";"29045";"26826";"29167";"24460";"23402";"22296"
"Ponte Preta (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2355";"2360";"2440";"2369";"2370";"2406";"2423";"2388";"1844";"1951";"2023";"2059";"2220";"2175";"4154";"3602";"3951";"3760";"4140";"5621";"8837";"8836";"7400";"7500";"7751"
"Portão (RS)";"917";"1226";"1243";"1250";"900";"900";"1629";"1499";"1624";"1490";"1583";"1594";"1482";"1600";"1604";"3870";"3360";"3292";"3166";"3219";"3380";"3549";"717";"705";"735";"731";"736";"737";"734";"731";"727";"821";"862";"844";"861";"870";"872";"899";"6219";"6615";"7412";"6325";"6313";"320"
"Porto Alegre (RS)";"4103";"3678";"3656";"3708";"3619";"5096";"3883";"3600";"3942";"3582";"3912";"3851";"2930";"3119";"3003";"2750";"2610";"43816";"73069";"5369";"1062";"1319";"880";"667";"-";"-";"3092";"3100";"3029";"2096";"2115";"1731";"1525";"1278";"1148";"4857";"5644";"9081";"10348";"10964";"11156";"8943";"7818";"6309"
"Porto Lucena (RS)";"2957";"3337";"3337";"3381";"2500";"4250";"5280";"5264";"5112";"5071";"4971";"4985";"5940";"5698";"6530";"7267";"7100";"7078";"6997";"6600";"6610";"7297";"8731";"8029";"6399";"6896";"8502";"7671";"7575";"7151";"8295";"6317";"6665";"8650";"8821";"8931";"8981";"9021";"9828";"10665";"11730";"11220";"11840";"13210"
"Porto Mauá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2976";"3241";"3013";"2649";"2942";"2619";"2705";"3304";"3322";"3370";"2746";"2864";"4440";"4774";"4297";"4727";"5105";"5220";"5465";"7592";"7745";"8961";"7617";"7541";"5551"
"Porto Vera Cruz (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"4800";"4632";"3752";"2864";"2882";"2340";"1444";"1799";"1771";"1854";"1885";"2226";"2229";"2419";"2570";"2827";"3070";"2992";"3659";"3769";"3659";"3824";"3671";"3634";"2093"
"Porto Xavier (RS)";"1250";"1128";"1112";"1113";"1350";"1420";"1600";"1624";"1982";"1545";"1527";"1677";"1851";"2200";"2996";"3300";"3650";"3265";"3076";"4650";"4590";"4855";"2986";"2983";"2116";"2329";"2273";"2463";"2079";"2278";"2765";"3081";"3360";"3290";"3131";"3331";"3301";"3360";"3285";"3597";"4020";"3885";"2373";"2323"
"Pouso Novo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"505";"594";"530";"448";"540";"697";"719";"99";"1104";"1185";"1239";"1409";"1447";"1636";"1346";"2288";"2818";"3066";"3003";"11680";"11504";"7858";"7930";"8866";"8526";"8970";"8382";"8802";"8681"
"Presidente Lucena (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1440";"886";"960";"843";"803";"950";"1141";"1318";"2097";"2145";"2094";"2056";"1638";"1814";"1921";"1323";"920";"920";"772";"639";"690";"680";"679";"692";"741"
"Progresso (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1155";"1374";"1502";"1515";"2198";"1920";"2238";"4500";"4000";"3800";"4080";"4608";"4790";"4940";"5220";"6526";"5770";"5588";"6581";"6230";"6575";"8000";"7695";"10690";"10190";"11300";"10670";"11200";"11360"
"Protásio Alves (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1527";"1589";"1725";"1812";"1978";"2141";"2118";"1016";"1871";"1817";"1661";"1831";"1990";"2208";"2877";"3335";"3197";"3791";"4847";"6951";"6743";"6554";"6751";"6576";"8770";"8189";"6592";"5478";"8244"
"Putinga (RS)";"1817";"2233";"2347";"2353";"2277";"2285";"2812";"2676";"2800";"2812";"2984";"2990";"3192";"3106";"3466";"3531";"3581";"3670";"3720";"3836";"3979";"3960";"3945";"3910";"3926";"3981";"4060";"6089";"9375";"9490";"9470";"10987";"11097";"11952";"11832";"11834";"13000";"12910";"13100";"14400";"14445";"14229";"13573";"13459"
"Quaraí (RS)";"2556";"2380";"2402";"2425";"2455";"2520";"2754";"2799";"2882";"2968";"2746";"2696";"3200";"3194";"4518";"5078";"5254";"5169";"5033";"4768";"5320";"5350";"4191";"3365";"2845";"2762";"2630";"2672";"2812";"2911";"3199";"3380";"3336";"3293";"3329";"3315";"3635";"3470";"3513";"3612";"3750";"3819";"3692";"3776"
"Quatro Irmãos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"868";"1002";"1019";"1035";"1152";"1141";"2192";"2184";"2175";"2281";"2290";"3149";"4880";"5846";"4935";"5237";"6123"
"Quevedos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2955";"2909";"2971";"1258";"2953";"2869";"2846";"2402";"2313";"2310";"2375";"1927";"1420";"1733";"1720";"1713";"1786";"1693";"1690";"1663";"1723";"3000";"3000";"1700";"2000"
"Quinze de Novembro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3151";"4212";"3995";"7260";"8230";"8763";"8753";"10962";"11280";"12481";"13373";"14710";"15151";"14149";"13463";"11862";"17151";"17200";"19521";"19600";"21920";"22190";"22080";"22150";"27668";"27947";"36660";"32850";"39981"
"Redentora (RS)";"780";"1075";"1067";"1081";"810";"504";"567";"619";"584";"670";"684";"690";"605";"674";"1283";"1312";"1396";"1458";"1520";"2446";"1546";"1978";"2903";"2940";"1806";"2044";"2467";"2162";"2020";"2467";"2030";"2624";"2977";"3130";"8526";"9032";"11026";"11836";"17240";"18396";"19110";"17839";"14888";"12984"
"Relvado (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1644";"1671";"1710";"1784";"1796";"1805";"1865";"2204";"2450";"2333";"2346";"2385";"2677";"2780";"2979";"2925";"2946";"2975";"3420";"3467";"3600";"6146";"6322";"6530";"7050";"6950";"6901";"6928";"7754"
"Restinga Sêca (RS)";"1273";"1193";"1168";"1156";"1198";"895";"1054";"1168";"1083";"1237";"1225";"1213";"1262";"1495";"2184";"3717";"3756";"4010";"4150";"4199";"4040";"4271";"2550";"4053";"3962";"3987";"3791";"3943";"3959";"3372";"3177";"3175";"3024";"3020";"3287";"3309";"3337";"3404";"3265";"3139";"3150";"3000";"2400";"2400"
"Rio dos Índios (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2213";"2390";"370";"1307";"1300";"1347";"1301";"1347";"1226";"1254";"1299";"1301";"1263";"1263";"2346";"2635";"2702";"2450";"2541";"2738";"2950";"2370";"2645";"2560";"5600"
"Rio Grande (RS)";"4763";"3915";"3927";"3951";"4684";"4615";"7166";"7214";"7061";"5906";"5560";"5492";"5655";"5235";"6650";"3911";"4114";"4163";"3574";"2807";"3019";"3373";"4015";"4150";"4283";"4298";"4031";"5272";"5407";"5419";"5608";"5610";"5677";"5532";"5854";"6120";"6140";"6121";"9605";"12374";"10526";"8590";"8265";"9686"
"Rio Pardo (RS)";"6237";"6220";"6282";"6351";"5705";"8820";"8557";"11188";"11971";"13495";"14223";"13835";"13461";"11846";"11202";"9467";"10500";"3200";"1153";"997";"1157";"1746";"2794";"3452";"3846";"3999";"4079";"3790";"3669";"3448";"3334";"3148";"3154";"2618";"2620";"2662";"2716";"2700";"2800";"3796";"3800";"3900";"3800";"5300"
"Riozinho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1114";"291";"286";"274";"270";"262";"293";"564";"646";"696";"809";"770";"731";"379";"366";"352";"333";"348";"359";"384";"671";"856";"813";"774";"796";"824";"772";"758";"583"
"Roca Sales (RS)";"3180";"3559";"3555";"3595";"2781";"3410";"5986";"5997";"4167";"7188";"7366";"7535";"7553";"7541";"6617";"6480";"6186";"6184";"6190";"5590";"5324";"5672";"6950";"6700";"6320";"6000";"6020";"4900";"4980";"4365";"4500";"5011";"5036";"5300";"8459";"6400";"6750";"7770";"8360";"8000";"8000";"8000";"8500";"10000"
"Rodeio Bonito (RS)";"1620";"1937";"1937";"1956";"1750";"1600";"2437";"2500";"2585";"2630";"2774";"2772";"2700";"2688";"2747";"3634";"3120";"3248";"3552";"4650";"4900";"4942";"2341";"1418";"1448";"1463";"1499";"1491";"1506";"1535";"1596";"1716";"1732";"2849";"2851";"2874";"2882";"2927";"3105";"4510";"6732";"7000";"6500";"6120"
"Rolador (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2600";"3048";"3089";"2690";"2500";"2200";"3000";"2890";"3083";"3091";"3050";"3064";"3500";"5000";"5000";"5000";"4500"
"Rolante (RS)";"4867";"4971";"5018";"5051";"4708";"5800";"14626";"13762";"14583";"7636";"8504";"8720";"7048";"8404";"11297";"1647";"1534";"1510";"1501";"1374";"1243";"1338";"3412";"3475";"3604";"3734";"3514";"3375";"4024";"4196";"4219";"3839";"4030";"3988";"3897";"3819";"4849";"4609";"4380";"4218";"5007";"4951";"5026";"3880"
"Ronda Alta (RS)";"1641";"2144";"2058";"2074";"2049";"1988";"3663";"3585";"3899";"3803";"3778";"3855";"4513";"4438";"3570";"2680";"2778";"2945";"3281";"3351";"3550";"3536";"8120";"8770";"8780";"9095";"8911";"5791";"6085";"5916";"5632";"5942";"7645";"6880";"7440";"8256";"8714";"8918";"9071";"19048";"18720";"16355";"15339";"20715"
"Rondinha (RS)";"1938";"2408";"2419";"2440";"1437";"1354";"2257";"2888";"2392";"2347";"2372";"2407";"2261";"2372";"2166";"2136";"2168";"2552";"2741";"2976";"2876";"3106";"8530";"9212";"9221";"9573";"9695";"10175";"10496";"10411";"10048";"10363";"14724";"21478";"21859";"19767";"19822";"19849";"20758";"35532";"35070";"37205";"34566";"38140"
"Roque Gonzales (RS)";"1818";"1616";"1583";"1557";"1592";"2156";"3940";"3567";"4188";"3717";"3944";"3810";"4794";"4800";"4980";"5304";"5420";"5058";"4927";"7350";"7300";"5305";"6531";"7070";"6886";"7119";"8012";"8271";"7891";"6968";"6781";"7466";"7675";"9880";"9561";"9641";"9581";"9840";"8800";"9100";"10080";"9835";"10888";"12724"
"Rosário do Sul (RS)";"3492";"3222";"3246";"3283";"3689";"3698";"3748";"3776";"3886";"3724";"3150";"3304";"3208";"3188";"6400";"6009";"6941";"6531";"6400";"6490";"6445";"6536";"3900";"4010";"4212";"4296";"5588";"5860";"5900";"5912";"5800";"4350";"4588";"4600";"10665";"10034";"8867";"9133";"9200";"9210";"8280";"8200";"8300";"8300"
"Sagrada Família (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"906";"543";"717";"756";"783";"757";"759";"1096";"944";"926";"923";"1086";"1436";"1623";"1930";"6197";"6180";"6730";"6694";"7246";"7931";"8031";"7120";"5943";"6024"
"Saldanha Marinho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2020";"2081";"2240";"2612";"2896";"3276";"3307";"3750";"3808";"3900";"4195";"5365";"6300";"5819";"6110";"4157";"5558";"6000";"6200";"6320";"7220";"8002";"9160";"9171";"9705";"9890";"11550";"11220";"14442"
"Salto do Jacuí (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2050";"1916";"1894";"1800";"1950";"1819";"2000";"2038";"2043";"2044";"2033";"1373";"1784";"2854";"2878";"3040";"3216";"2826";"2430";"2352";"2220";"2628";"2260";"2300";"5100";"5210";"5236";"5371";"6393";"6386";"8100";"8140";"8775";"8580";"10080"
"Salvador das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3280";"3275";"4318";"5075";"6282";"6416";"6988";"7984";"8320";"8295";"8030";"7939";"6975";"7213";"9611";"11780";"11431";"11221";"11661";"11871";"11950";"12293";"13286";"14937";"17501"
"Salvador do Sul (RS)";"5990";"7015";"7073";"7126";"6313";"8700";"13954";"12891";"14803";"12500";"9387";"9094";"12263";"11756";"11660";"5000";"5100";"4825";"4635";"3500";"3605";"3641";"4522";"4347";"4362";"4472";"4481";"3964";"3948";"3968";"3986";"4424";"4557";"4466";"4421";"4443";"4386";"4035";"5853";"6188";"6187";"5074";"5087";"6119"
"Sananduva (RS)";"2124";"2310";"2345";"2355";"2790";"1450";"1495";"1490";"1497";"1440";"1271";"1301";"1706";"1997";"4517";"4528";"5346";"5396";"5610";"5775";"8645";"8746";"8795";"8802";"8968";"9233";"10074";"10272";"10688";"10845";"10900";"12717";"13338";"20477";"21145";"21292";"21700";"43500";"43545";"45900";"36000";"33000";"34800";"25861"
"Santa Bárbara do Sul (RS)";"1150";"1192";"1190";"1191";"1119";"840";"2621";"2289";"2609";"2598";"2656";"2735";"3118";"3177";"2130";"1856";"1896";"1911";"2291";"2785";"2856";"5410";"5589";"5665";"5849";"6434";"6500";"6650";"5875";"5441";"2435";"2922";"3200";"5800";"5855";"5984";"6864";"7500";"7550";"8370";"8250";"9255";"9764";"8500"
"Santa Cecília do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5168";"5271";"5343";"5393";"5605";"5821";"5990";"6150";"6171";"6356";"6686";"6771";"9980";"10778";"10962";"11700";"11993"
"Santa Clara do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3134";"3175";"3475";"4400";"4450";"4220";"4400";"4600";"3880";"3800";"4050";"4100";"4900";"5868";"7722";"7200";"6643";"7050";"7325";"8000";"8000";"7920";"7400";"8000";"6750"
"Santa Cruz do Sul (RS)";"10315";"12226";"12229";"12377";"11429";"10900";"19942";"10952";"9533";"18680";"20005";"19365";"21326";"20429";"20880";"19663";"19939";"6200";"4750";"3500";"3920";"13612";"8004";"9604";"9885";"9982";"9683";"8918";"9513";"8942";"8984";"8943";"8962";"3158";"3159";"3159";"3201";"4750";"4750";"4900";"4950";"5810";"12000";"12600"
"Santa Maria (RS)";"10356";"9579";"9684";"9782";"11025";"11173";"7765";"7789";"7714";"7549";"7115";"7220";"7675";"9102";"16624";"16553";"17193";"17256";"17226";"17937";"17729";"17950";"13733";"15993";"15744";"15615";"12264";"12127";"12519";"12036";"10916";"8747";"7940";"7960";"8107";"8170";"7782";"8008";"8018";"7862";"2500";"2500";"2211";"2211"
"Santa Maria do Herval (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1454";"1914";"1809";"1554";"1524";"1469";"1583";"1844";"1910";"1910";"1793";"1890";"3906";"3243";"3456";"2212";"2362";"2588";"2383";"2332";"1809";"1872";"3130";"2570";"2628";"2628";"2628";"2628";"2978"
"Santa Margarida do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1750";"1671";"1682";"1279";"1292";"1318";"1420";"2759";"2674";"2815";"2972";"3203";"3300";"3200";"3200";"3200";"3200"
"Santana da Boa Vista (RS)";"1006";"909";"934";"949";"735";"960";"1786";"1939";"1879";"1944";"1993";"2038";"1663";"1737";"2575";"2392";"2433";"2516";"2680";"2855";"4208";"4451";"1689";"1718";"1784";"1845";"2425";"2581";"2604";"2691";"2701";"2698";"2764";"2764";"2799";"2827";"2855";"2884";"2827";"2629";"2682";"2870";"2411";"2362"
"Sant'Ana do Livramento (RS)";"5567";"5338";"5443";"5497";"4321";"4393";"4887";"4902";"4794";"4698";"4509";"4840";"4742";"5025";"9704";"9100";"7988";"8524";"9410";"7584";"8497";"8333";"6998";"7479";"8148";"8349";"8850";"9100";"9200";"9292";"8689";"5950";"6064";"6070";"18330";"19305";"25120";"32100";"21600";"20951";"22103";"23000";"36000";"36000"
"Santa Rosa (RS)";"4173";"4132";"3946";"3994";"3384";"3280";"3650";"3813";"4305";"3394";"3536";"3443";"3978";"4103";"4078";"6540";"6827";"7032";"6136";"8760";"7319";"9655";"15654";"15842";"14794";"16424";"17312";"17583";"17273";"14488";"16708";"19916";"21709";"22577";"24609";"27316";"27375";"29565";"30748";"31393";"32806";"32872";"32543";"30650"
"Santa Tereza (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1250";"1288";"1312";"878";"799";"768";"710";"760";"1248";"998";"719";"863";"1300";"1467";"1335";"1374";"1287";"1200";"1101";"1094";"654";"520";"586";"672";"300"
"Santa Vitória do Palmar (RS)";"3970";"3031";"3105";"3219";"2850";"2986";"1621";"1642";"1693";"1458";"1477";"1567";"1619";"1745";"4406";"4026";"4270";"4830";"4231";"3396";"5199";"5880";"10668";"10733";"10680";"10730";"10680";"10999";"11087";"10035";"6768";"6760";"6850";"7028";"6004";"6004";"5928";"5894";"7060";"7654";"8270";"6375";"5332";"5326"
