"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Barracão (RS)";"532";"869";"889";"895";"620";"741";"3248";"3800";"3326";"3685";"3963";"3875";"3388";"3416";"1642";"1807";"2100";"2263";"2330";"2754";"3202";"3890";"1585";"1742";"1812";"2004";"1870";"1698";"3687";"3834";"2664";"3466";"3843";"5287";"4800";"5493";"6298";"5993";"6300";"10500";"10125";"10680";"6237";"5250"
"Barra do Guarita (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1292";"1292";"1328";"1168";"1210";"1185";"1304";"1870";"1187";"1191";"1195";"1203";"2230";"2230";"2500";"2300";"2650";"2700";"2800";"3000";"3000";"3000";"2600";"2800";"4500"
"Barra do Quaraí (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1013";"1177";"1242";"1387";"1450";"1716";"1873";"2032";"2137";"2325";"2120";"2360";"2527";"2350";"2255";"2357";"2150";"1957";"1585";"1498";"1350"
"Barra do Ribeiro (RS)";"1404";"1167";"1102";"1124";"1568";"1154";"1226";"1494";"1276";"1535";"1484";"1561";"1260";"1360";"1350";"2400";"1811";"1800";"2000";"1650";"1400";"1480";"760";"850";"805";"900";"860";"700";"840";"850";"750";"745";"671";"541";"475";"508";"621";"580";"595";"609";"490";"569";"612";"605"
"Barra do Rio Azul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3144";"3150";"3360";"3560";"3560";"3229";"3478";"3287";"3395";"3511";"3718";"3862";"3999";"4079";"7745";"8534";"8610";"8800";"8601";"8700";"9485";"9550";"11220";"11700";"7794"
"Barra Funda (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"909";"920";"1011";"1435";"1550";"1582";"1687";"1876";"3249";"3286";"3345";"2932";"3333";"3872";"3915";"3936";"3724";"3809";"3841";"4126";"5635";"6098";"6511";"5408";"6185"
"Barros Cassal (RS)";"1306";"1943";"2021";"2027";"1693";"1500";"1666";"1800";"2093";"2100";"1774";"1739";"2345";"2255";"2140";"2300";"2486";"662";"231";"223";"241";"1270";"2035";"2442";"2522";"2471";"2496";"2262";"2350";"2303";"2245";"2175";"2175";"2175";"2186";"2186";"2217";"2217";"2150";"2500";"1581";"2400";"2380";"2850"
"Benjamin Constant do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1312";"1254";"1276";"1298";"1531";"1604";"1677";"1720";"1750";"1715";"2239";"2637";"2651";"2380";"1830";"2205";"3211";"3300";"3000";"2800";"2913"
"Bento Gonçalves (RS)";"5949";"6274";"6375";"6378";"5427";"5940";"8286";"7502";"11228";"8000";"6390";"5882";"8124";"7672";"7185";"10328";"5945";"6439";"6580";"4165";"4280";"2428";"4960";"3039";"4050";"3800";"3850";"3424";"5993";"4541";"5638";"6279";"5234";"2978";"4663";"4839";"5100";"4847";"4581";"3215";"3150";"1785";"1040";"588"
"Boa Vista das Missões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1487";"666";"805";"1401";"782";"759";"872";"892";"764";"816";"802";"706";"1243";"1090";"1644";"3153";"3206";"3420";"3635";"4794";"6320";"6597";"6194";"5736";"5724"
